filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6	tmt_7	tmt_8	tmt_9	tmt_10	tmt_11	tmt_12	tmt_13	tmt_14	tmt_15	tmt_16
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=78738	22.0	69645.53	35804.71	28447.486	64099.64	47587.26	53512.03	36160.523	34348.23	59822.68	23377.686	45385.5	35553.234	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=78783	22.0	221411.97	77322.42	73656.35	81321.96	96489.37	63179.68	94718.79	43079.875	71568.38	47074.902	65190.44	76518.984	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=78838	22.0	149238.62	71889.484	92823.87	89340.1	80399.734	55981.777	92342.164	44613.973	66322.06	57966.094	56899.812	90388.48	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=78988	22.0	286857.28	215415.03	144012.45	195131.97	130486.13	149262.27	179436.34	70002.35	181873.36	136525.62	274227.0	315287.72	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=78994	22.0	235184.7	116242.73	99130.93	131149.53	93655.8	69478.54	120072.58	68188.914	144129.92	118521.28	174964.88	189499.97	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=79087	22.0	27740.04	17138.916	13394.024	26422.768	18196.297	14278.629	24201.502	0.0	28486.664	0.0	22517.46	32677.87	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=79317	22.0	599871.75	422028.78	300262.47	439697.75	316743.8	323512.53	420234.66	142596.31	415958.28	271774.75	507303.38	649533.06	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=79386	22.0	109112.49	73777.586	50209.863	81724.39	69540.67	48367.234	64481.734	40816.117	61824.785	43328.043	51531.773	74567.555	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=79438	22.0	195636.61	90594.984	75103.3	143719.67	118450.31	97046.336	160729.66	120204.52	138361.67	88738.555	128389.71	69053.67	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=80538	22.0	52604.816	27283.164	11527.626	23173.258	32670.607	28277.564	35274.145	27193.05	40387.9	20024.98	33326.574	10696.034	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=80633	22.0	88362.45	107957.23	35410.797	66257.48	60420.742	66279.734	44500.133	46442.324	105823.44	46750.047	69543.61	97418.94	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=80753	22.0	289144.88	269729.5	166969.38	519096.25	181964.34	379424.9	205043.42	122727.98	333421.88	173459.33	342007.84	163415.97	0.0	0.0	0.0	0.0
B10006SMC-CSF-RA20241218.mzML	controllerType=0 controllerNumber=1 scan=80858	22.0	606717.1	442469.84	199884.9	740836.4	231951.19	605381.56	239975.28	154554.38	468568.25	146461.25	358901.66	230579.6	0.0	0.0	0.0	0.0
