filename	scannr	ion_injection_time	tmt_1	tmt_2	tmt_3	tmt_4	tmt_5	tmt_6
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12828	100.0	64046.21	250544.53	195910.3	198194.31	140775.95	63907.04
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12861	58.296	563489.4	482255.2	630392.6	322472.66	278875.8	388331.7
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=12871	85.222	396132.7	289408.72	279161.88	151520.78	209191.97	130716.09
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13206	7.534	7094513.0	9676306.0	8025497.0	4092289.0	2502959.8	831331.9
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13258	100.0	88286.0	81897.09	83520.664	42614.85	51217.1	9079.472
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13326	55.5	156472.88	322479.0	321460.5	265975.8	257693.03	202929.58
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13497	100.0	38258.27	36517.92	37888.164	34529.074	26387.148	42827.203
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13507	43.926	500080.34	239721.69	181473.2	120236.71	98393.914	56155.406
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13517	10.482	678387.25	515401.06	650783.0	403028.94	378102.28	463290.6
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13587	100.0	17986.365	23576.682	25701.938	23215.637	24827.848	17660.305
MSK_CD4_TMT_TP_Set1_bRPLC_F01.mzML	controllerType=0 controllerNumber=1 scan=13608	100.0	11481.259	4244.426	4318.6733	4288.3223	1001.5231	0.0
